Country,Population_Total,Current_Health_Expenditure_%GDP,GDP_per_Capita,UNDP_Multidim_Poverty_Ratio_%Pop,Poverty_Ratio_SocialLine_%Pop,Population_Rural,Prevalence of HIV total (% of population ages 15-49),"Incidence of tuberculosis (per 100,000 people) ",Diabetes prevalence (% of population ages 20 to 79),Hospital_beds_1000ppl,Physicians_1000ppl,"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]",Rural land area (sq. km) [AG.LND.TOTL.RU.K2],Surface area (sq. km) [AG.SRF.TOTL.K2]
Afghanistan,31833879.14,11.2426364,451.4874436,55.9,..,23970533.76,0.1,187.8571429,9.25,0.417894737,0.245933333,8.133,636173.2292,652860
Albania,2902012.19,6.305844005,4493.153886,0.7,19.14,1308266.095,0.1,17.19047619,6.5,2.953888889,1.387615385,7.8235,27331.60161,28750
Algeria,38723551.86,5.268283782,4545.498223,1.4,17.6,11725015.71,0.1,69.47619048,7.05,1.699230769,1.4515,4.7253,2305478.23,2381740.4
American Samoa,53286.09524,..,11705.50962,..,..,6643.761905,..,6.771428571,20.3,..,..,5.34,198.2477988,200
Andorra,77161.42857,6.650699064,42338.98155,..,..,8656.571429,..,8.157142857,7.55,2.72,3.294,3.616666667,409.4971338,470
Angola,26583643.52,2.918620436,2920.830059,51.1,38.8,9902981.571,1.745,361.3333333,3.75,0.775,0.154,10.62685,1250999.883,1246700
Antigua and Barbuda,86849.28571,5.110502896,16494.48587,..,..,64215.28571,..,4.452380952,12.1,2.782666667,1.731333333,5.8455,396.33478,440
Argentina,42424169.62,9.141930304,10186.08225,0.4,25.51052632,3721265.857,0.39,27.71428571,5.45,4.314615385,3.860957143,7.7391,2735389.702,2780400
Armenia,3038366.667,8.956842105,3613.567524,0.2,21.78,1109743.905,0.17,51.61904762,7.05,4.359444444,2.829428571,9.87735,27342.21829,29740
Aruba,103973,..,26699.88887,..,..,58498.09524,..,9.3,8.35,..,..,7.92125,84.80002661,180
Australia,23079256.1,9.099192092,51793.94662,..,11.88571429,3335954.333,0.1,6.361904762,6.5,3.837692308,3.297555556,6.575,7650418.083,7741220
Austria,8566906.143,10.23421053,47081.92499,..,11.41578947,3575886.667,..,8.557142857,5.6,7.556111111,4.876736842,9.42,80030.88661,83879
Azerbaijan,9330278.381,3.322631579,4964.763133,..,10.83333333,4244327.667,0.1,80.14285714,4.2,5.260588235,3.411647059,6.085,82218.65449,86600
"Bahamas, The",374207.2381,5.372967545,29374.01475,..,..,64618.66667,1.39,14.3952381,10.45,2.885555556,2.220333333,6.6706,12279.91847,13880
Bahrain,1253301.048,4.041130895,23586.559,..,..,137562.2857,..,21.57142857,15.4,1.972941176,0.981928571,2.13005,335.707418,765.25
Bangladesh,156396125.3,2.232583046,1284.247251,24.6,34.825,104651411.4,0.1,221,12.35,0.617142857,0.434631579,6.00645,79328.8629,148088.85
Barbados,276353.1429,6.910125054,18242.059,2.5,..,188545.8095,1.07,2.012857143,13.2,6.4875,2.1825,8.9848,248.5273247,430
Belarus,9476675.667,5.710526316,5873.224399,..,13.68888889,2263897.381,0.28,52.23809524,6.8,10.21235294,4.598777778,13.95935,201456.0045,207603.5
Belgium,11088309.48,10.23358792,44523.6094,..,10.57368421,245864.381,0.19,9.704761905,4.2,5.994210526,3.151789474,9.76,22780.52409,30568.2
Belize,340426.2381,4.41062335,5861.354914,4.3,..,185189.8571,1.37,32.0952381,15.75,1.119999997,1.0305,5.04215,21708.44766,22970
Benin,10832073.14,2.874702315,1048.749687,66.8,46.4,5928815.381,1.14,63.23809524,1.55,0.458461538,0.056285714,10.2632,113691.0639,114760
Bermuda,63594,..,103047.3282,..,..,0,..,3.757142857,12.5,..,..,7.72,20.30314892,2172
Bhutan,721271.4286,3.781448113,2552.163178,..,26.04,452387.1429,0.2,180.7142857,8.05,1.777894737,0.335846154,6.89455,39040.72891,38477.15
Bolivia,10669673.24,5.837991112,2463.695863,9.1,27.77058824,3448099.333,0.315,127.952381,6.05,1.136842105,0.7564,7.99265,1059511.349,1098580
Bosnia and Herzegovina,3657428.476,9.19,4997.859457,2.2,16.4,1959002.429,..,44.76190476,8.3,2.207058824,1.696538462,11.0196,49134.66048,51210
Botswana,2128599.952,6.033725739,6415.647824,17.2,37.15,742751.0476,21.19,453,8,2.284210526,0.3445,9.09965,572887.2314,581730
Brazil,197756328.7,8.618495314,8827.379512,3.8,29.66315789,29241718.1,0.485,46.28571429,9.45,2.428888889,2.0644,6.55105,8385496.484,8515502.389
British Virgin Islands,30848.33333,..,..,..,..,16551.71429,..,1.85047619,8.65,..,..,5.62935,147.7165994,150
Brunei Darussalam,407545.5714,2.195953946,33617.41147,..,..,97432.71429,..,63.71428571,10.25,3.055789474,1.414071429,4.13235,5571.881756,5770
Bulgaria,7240839.381,7.205789474,7940.040173,..,18.5,1939507.714,0.1,33.66666667,7.05,6.745555556,3.736428571,15.585,108913.9424,110999.5
Burkina Faso,17858317.19,5.061279397,666.1661779,..,47.88,13033995.48,1.015,54.47619048,2.55,0.5,0.056076923,10.8079,273918.352,274216
Burundi,10301334.67,8.268308865,205.7231497,75.1,66.33333333,9068831.476,1.51,139.6666667,4.6,0.79,0.059,9.8376,24150.62687,27830
Cabo Verde,506132.3333,4.794364164,3540.203208,..,30.8,187728.2857,0.83,67.66666667,3.75,1.989333333,0.601888889,5.58565,4043.854845,4030
Cambodia,15186285.62,6.688282038,1368.061431,16.6,..,11866979.38,0.805,399.1904762,5.1,0.685555556,0.215428571,6.324,176180.6789,181040
Cameroon,21766492.86,3.696850376,1448.111371,43.6,40.3,10017097.76,3.885,234.3809524,5.8,1.816666667,0.101777778,10.21385,463837.3154,475440
Canada,35242468.19,10.47599082,45454.25459,..,14.62941176,6678381.238,0.2,5.414285714,8.05,2.826111111,2.311842857,7.41,9197138.473,15639891
Cayman Islands,58542.09524,..,82848.08103,..,..,0,..,5.019047619,12.5,..,..,3.41,229.4268204,264
Central African Republic,4656981.381,5.556998728,420.9850319,80.4,63.8,2786369.048,4.61,540,4.5,1.1,0.0597,13.6006,622165.0808,622980
Chad,13909835.38,4.606336832,728.1109852,84.2,47.05,10749496.38,1.46,145.5238095,4.85,0.446666667,0.046,14.57135,1272923.572,1284000
Channel Islands,160632.8571,..,60868.8135,..,..,110929.1905,..,..,5.6,..,..,8.331753436,..,198
Chile,17818925,7.783749199,12636.47683,..,21.72222222,2262842.333,0.375,16.61904762,10.15,2.194210526,1.774789474,6.05,723594.5312,756307.4
China,1360274286,4.624752959,6716.493899,3.9,27.74285714,639794213.2,..,71.66666667,9.7,3.098333333,1.631055556,6.99,8723723.06,9562910.85
Colombia,46399256.48,7.120626424,5879.763607,4.8,30.58888889,9690497.524,0.415,34.23809524,9.05,1.485333335,1.821157895,5.41765,1127197.644,1141580.008
Comoros,701738.1905,5.429377581,1402.927117,37.3,35.2,501018.4286,0.1,34.85714286,10.05,2.18,0.224333333,9.1211,1534.767163,1861
"Congo, Dem. Rep.",77631874.43,3.819649972,398.8776238,64.5,80.03333333,44703671.81,0.99,323.8571429,4.45,0.95,0.16175,11.1712,2295898.507,2344860
"Congo, Rep.",4819028,2.28647202,2497.356884,24.3,47.55,1681629.238,3.69,388.9047619,5.5,1.6,0.141428571,8.1039,340340.844,342000
Costa Rica,4685319.714,7.403352212,9773.96168,0.5,24.85714286,1193027.286,0.35,12.46190476,9.2,1.217894737,2.549,4.92705,49804.71155,51100
Cote d'Ivoire,24525009.24,4.097755419,1766.442639,46.1,38.85,12496495.76,3.29,186.0952381,3.5,0.4,0.156428571,10.7017,318023.6312,322460
